Title,Description,Price (NPR),Featured Image
E-commerce Platform,A complete solution for online stores with payment gateway integration.,15000,https://example.com/images/ecommerce.jpg
Content Management System (CMS),A powerful CMS for managing website content effortlessly.,12000,https://example.com/images/cms.jpg
Enterprise Management System (EMS),Comprehensive solution for managing enterprise resources.,25000,https://example.com/images/ems.jpg
Customer Relationship Management (CRM),Track and manage customer interactions effectively.,18000,https://example.com/images/crm.jpg
Point of Sale (POS) System,A fast and secure POS system for retail businesses.,10000,https://example.com/images/pos.jpg
Hotel Management Software,Complete software for managing hotel reservations and billing.,22000,https://example.com/images/hotel.jpg
Inventory Management System,Keep track of stock levels and manage suppliers easily.,14000,https://example.com/images/inventory.jpg
Learning Management System (LMS),A robust LMS for online education and training institutions.,20000,https://example.com/images/lms.jpg
HR Management System,"Manage employee records, payroll, and performance tracking.",16000,https://example.com/images/hrms.jpg
Accounting Software,A complete accounting package with invoicing and tax management.,13000,https://example.com/images/accounting.jpg
